DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE;
06/02/22 19.54.55;4096;1,51E+06;1,22E+09;9,38E+04;2,85E+08;1,81E+06; standard; NVIDIA CUDA;32;41;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.54.56;4096;1,50E+06;1,20E+09;4,31E+04;2,84E+08;1,90E+06; standard; NVIDIA CUDA;32;41;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.54.58;4096;1,53E+06;1,24E+09;1,66E+04;2,95E+08;1,90E+06; standard; NVIDIA CUDA;32;41;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.00;4096;1,51E+06;1,22E+09;1,47E+04;3,00E+08;2,00E+06; standard; NVIDIA CUDA;32;42;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.01;4096;1,50E+06;1,20E+09;1,84E+04;2,82E+08;1,81E+06; standard; NVIDIA CUDA;32;42;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.03;4096;1,51E+06;1,22E+09;3,53E+04;3,09E+08;1,92E+06; standard; NVIDIA CUDA;32;42;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.05;4096;1,53E+06;1,22E+09;1,64E+04;2,92E+08;1,90E+06; standard; NVIDIA CUDA;32;42;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.07;4096;1,50E+06;1,21E+09;1,89E+04;2,89E+08;1,95E+06; standard; NVIDIA CUDA;32;43;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.08;4096;1,53E+06;1,24E+09;4,52E+04;3,01E+08;1,95E+06; standard; NVIDIA CUDA;32;43;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.10;4096;1,50E+06;1,21E+09;4,75E+04;2,90E+08;1,93E+06; standard; NVIDIA CUDA;32;43;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.12;4096;1,52E+06;1,21E+09;1,94E+04;2,84E+08;1,89E+06; standard; NVIDIA CUDA;32;43;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.13;4096;1,52E+06;1,24E+09;2,01E+04;3,03E+08;1,88E+06; standard; NVIDIA CUDA;32;43;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.15;4096;1,50E+06;1,21E+09;5,94E+04;2,96E+08;1,94E+06; standard; NVIDIA CUDA;32;44;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.17;4096;1,51E+06;1,22E+09;4,71E+04;2,93E+08;1,93E+06; standard; NVIDIA CUDA;32;44;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
06/02/22 19.55.18;4096;1,53E+06;1,23E+09;1,64E+04;3,07E+08;1,97E+06; standard; NVIDIA CUDA;32;44;0; NVIDIA GeForce GTX 1650 with Max-Q Design;
